name,organization,homepage,logo,twitter,crunchbase_url,funding,member,relation,tag,license,headquarters,description,crunchbase_description,crunchbase_homepage,crunchbase_city,crunchbase_region,crunchbase_country,crunchbase_twitter,crunchbase_linkedin,crunchbase_ticker,crunchbase_kind,crunchbase_min_employees,crunchbase_max_employees,category,subcategory,oss,github_repo,github_stars,github_description,github_latest_commit_date,github_latest_commit_link,github_latest_release_date,github_latest_release_link,github_start_commit_date,github_start_commit_link,github_contributors_count,github_contributors_link,accepted,incubation,graduated,dev_stats_url,artwork_url,blog_url,mailing_list_url,slack_url,youtube_url,chat_channel,last_audit_date,last_audit_url
Mauvais Sang,,https://mauvaissang.noblogs.org,logos/5e2f3aeabcdf6900b24d7af6dd7d14f726d2682cef66259fd3e3b9dc7bc4aa40.jpg,https://x.com/mauvaissang9,,,,,,,,Un journal bâtard pour la révolution,,,,,,,,,,,,Médias,Journaux,,,,,,,,,,,,,,,,,,,,,,,,
niet!éditions,,https://niet-editions.fr/,logos/9b3b935bd7bd7b686621f13890443a726c26256f6c0eb84cd1a2e9288bfdcd58.jpg,https://x.com/nieteditions,,,,,,,,,,,,,,,,,,,,Médias,Maisons d'édition,,,,,,,,,,,,,,,,,,,,,,,,
Radio 2049,,https://www.youtube.com/@radio2k49,logos/cb9de03c64dc5b660a75954bd39dc42a1391c6fc832f974b141cd371417325ba.jpg,,,,,,,,,"Une radio pour la révolution, Des podcasts sans transitions. Des lives publics, Dans un esprit de rupture.",,,,,,,,,,,,Médias,Radio & podcasts,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/@radio2k49,,,
Radio Mad Max,,https://www.radiomadmax.xyz/,logos/864e540c66c215328e9710aa1297f96268265a5cc8533036933b445966aae37b.jpg,https://x.com/RadioMadMax,,,,,,,,"La radio des chiens de la cax, qui veut contribuer aux débordements révolutionnaires des révoltes et mouvements sociaux.",,,,,,,,,,,,Médias,Radio & podcasts,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/@radiomadmax,,,
Rennes DTR,,https://x.com/RennesDTR,logos/f9052b4a846dc5829cf20c322328d6720b388254dfda045031c964bb89b743eb.jpg,https://x.com/RennesDTR,,,,,,,,Média autonome sur les luttes à Rennes,,,,,,,,,,,,Médias,Sites web,,,,,,,,,,,,,,,,,,,,,,,,
Réseau Angevin Antifasciste,,https://raaf.noblogs.org,logos/4af693564982988aa7aa15b4ce290ab91c10f1b522194f2117653911ce760b96.jpg,https://x.com/angersraaf,,,,,,,,,,,,,,,,,,,,Collectifs,Groupes,,,,,,,,,,,,,,,,,,,,,,,,
Réseau Mutu,,https://reseaumutu.info/Presentation-du-reseau-Mutu-001,logos/ad805617eb4863a97c88758b5bceab719eb6d467b7f0aabdd14b2c83d0e2dfd1.png,,,,,,,,,"Ce réseau, appelé « Mutu », correspond à un projet tout simple : la tentative de partager nos expériences et mettre en commun un certain nombre de dispositifs techniques.",,,,,,,,,,,,Médias,Sites web,,,,,,,,,,,,,,,,,,,,,,,,
Smolny,,https://smolny.fr,logos/c9f45dd76e4577851fcc6b56ff4cf8d56928efa34b649d655cd2d026d791af6c.jpg,https://x.com/CoSmolny,,,,,,,,,,,,,,,,,,,,Médias,Maisons d'édition,,,,,,,,,,,,,,,,,,,,,,,,
Sortir du capitalisme,,http://sortirducapitalisme.fr/,logos/d56239efd4e532c94981d32cbbea3a162c21bb41925583dfbb4fc9f0140842d1.jpg,https://x.com/sortirducap,,,,,,,,Un podcast pour une critique émancipatrice du capitalisme et des autres formes de domination,,,,,,,,,,,,Médias,Radio & podcasts,,,,,,,,,,,,,,,,,,,,,https://www.youtube.com/@Sortirducapitalisme,,,
TŘÍdnÍ VÁlka,,https://www.autistici.org/tridnivalka,logos/ce1027b332410ba372d882bf7978cf25d992051a010449bb6e0d58e2ad30e6e5.jpg,,,,,,,,,,,,,,,,,,,,,Médias,Sites web,,,,,,,,,,,,,,,,,,,,,,,,
Zones subversives,,http://www.zones-subversives.com,logos/8d923bfec460d4691440303e41819f76f414fab351f919ae42e6cbd102c8400f.jpg,,,,,,,,,Chroniques critiques,,,,,,,,,,,,Médias,Sites web,,,,,,,,,,,,,,,,,,,,,,,,
À bas les CRA,,https://abaslescra.noblogs.org/,logos/b5ecc22f08e45ce955f3a7091bb276362b0f6828d9d473c1bab21bc9d40175f2.jpg,https://x.com/bas_cra,,,,,,,,"À bas les Centres de Rétention Administrative ! Contre toute forme d'enfermement, les prisons pour étranger.e.s et le racisme d'état 🔥",,,,,,,,,,,,Médias,Sites web,,,,,,,,,,,,,,,,,,,,,,,,
